"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-02",,"20.6","15.6","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-03",,"23.3","12.2","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-04",,"22.8","12.8","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-05",,"25.6","14.4","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-06",,"21.7","15.6","18.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-07",,"27.2","15.6","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-08",,"26.1","15.0","15.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-09",,"28.3","15.0","18.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-10",,"22.2","16.1","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-11",,"22.8","10.0","10.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-12",,"23.9","10.6","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-13",,"26.1","16.7","25.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-14",,"28.3","17.8","17.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-15",,"26.7","17.8","19.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-16",,"29.4","19.4","20.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-17",,"24.4","19.4","20.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-18",,"22.8","19.4","20.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-19",,"28.3","15.6","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-20",,"23.3","10.6","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-21",,"25.0","10.6","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-22",,"24.4","12.8","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-23",,"27.2","20.6","22.8"
